TIME,Canada,Italy
1965,24.976,24.581
1966,25.988,24.372
1967,26.97,25.265
1968,27.753,26.009
1969,29.865,25.418
1970,29.881,24.762
1971,29.417,25.384
1972,29.934,25.297
1973,29.53,23.052
1974,32.036,24.157
1975,31.136,24.441
1976,30.576,25.349
1977,29.825,25.834
1978,29.555,25.987
1979,29.341,25.189
1980,30.322,28.624
1981,32.511,29.744
1982,32.323,31.827
1983,31.761,33.715
1984,31.709,32.89
1985,31.613,32.409
1986,32.352,33.906
1987,33.313,33.996
1988,33.032,34.535
1989,34.126,35.465
1990,35.072,36.271
1991,35.503,36.665
1992,35.067,38.921
1993,34.444,40.505
1994,34.403,38.581
1995,34.628,38.455
1996,34.941,40.154
1997,35.791,41.574
1998,35.711,39.92
1999,35.487,40.793
2000,34.673,40.523
2001,34.085,40.135
2002,33.081,39.619
2003,32.7,39.953
2004,32.713,39.225
2005,32.661,39.047
2006,32.725,40.464
2007,32.495,41.564
2008,31.235,41.596
2009,32.346,41.97
2010,31.007,41.701
2011,30.803,41.637
2012,31.177,43.617
2013,31.132,43.828
2014,31.266,43.325
2015,32.82,42.958
2016,33.258,42.242
2017,33.044,41.912
2018,33.495,41.731
2019,33.079,42.27
2020,34.258,42.653
2021,33.249,43.289
